device,brand,country,vertical,sov
-1,KAYAK,Afghanistan,Flights,11.9029%
-1,CheapFlights,Afghanistan,Flights,9.9920%
-1,Momondo,Afghanistan,Flights,7.3248%
-1,Hotelscombined,Afghanistan,Flights,5.9315%
-1,KAYAK,Afghanistan,Hotel,6.2500%
-1,Momondo,Afghanistan,Hotel,0.8929%
-1,Hotelscombined,Afghanistan,Hotel,5.3571%
-1,KAYAK,Afghanistan,Hotel Citywide,7.3669%
-1,Momondo,Afghanistan,Hotel Citywide,1.5385%
-1,Hotelscombined,Afghanistan,Hotel Citywide,1.8935%
-1,Momondo,Albania,Car Rentals,25.0000%
-1,KAYAK,Albania,Car Rentals,3.5714%
-1,CheapFlights,Albania,Flights,5.7187%
-1,KAYAK,Albania,Flights,3.0067%
-1,Momondo,Albania,Flights,3.8249%
-1,Hotelscombined,Albania,Flights,12.2412%
-1,Swoodoo,Albania,Flights,0.0029%
-1,KAYAK,Albania,Hotel,3.8086%
-1,Momondo,Albania,Hotel,0.4883%
-1,Hotelscombined,Albania,Hotel,9.5215%
-1,KAYAK,Albania,Hotel Citywide,9.6691%
-1,Momondo,Albania,Hotel Citywide,1.5366%
-1,Hotelscombined,Albania,Hotel Citywide,3.0038%
-1,Swoodoo,Albania,Hotel Citywide,0.0128%
-1,Hotelscombined,Albania,Vacations,4.5238%
-1,KAYAK,Albania,Vacations,0.2381%
-1,Momondo,Algeria,Car Rentals,22.1311%
-1,KAYAK,Algeria,Car Rentals,18.7158%
-1,KAYAK,Algeria,Flights,15.4982%
-1,CheapFlights,Algeria,Flights,12.3357%
-1,Momondo,Algeria,Flights,6.1653%
-1,Hotelscombined,Algeria,Flights,4.6851%
-1,KAYAK,Algeria,Hotel,5.5268%
-1,Momondo,Algeria,Hotel,0.4750%
-1,Hotelscombined,Algeria,Hotel,4.7927%
-1,KAYAK,Algeria,Hotel Citywide,6.5972%
-1,Momondo,Algeria,Hotel Citywide,1.3543%
-1,Hotelscombined,Algeria,Hotel Citywide,2.6589%
-1,Swoodoo,Algeria,Hotel Citywide,0.0005%
-1,KAYAK,Algeria,Vacations,14.8810%
-1,Hotelscombined,Algeria,Vacations,2.9762%
-1,KAYAK,American Samoa,Flights,16.6667%
-1,Hotelscombined,American Samoa,Flights,8.3333%
-1,CheapFlights,American Samoa,Flights,8.3333%
-1,Momondo,American Samoa,Flights,8.3333%
-1,Hotelscombined,American Samoa,Hotel,6.2500%
-1,KAYAK,American Samoa,Hotel Citywide,9.8837%
-1,Hotelscombined,American Samoa,Hotel Citywide,2.9070%
-1,Momondo,American Samoa,Hotel Citywide,0.5814%
-1,Momondo,Andorra,Car Rentals,25.0000%
-1,KAYAK,Andorra,Car Rentals,15.0000%
-1,CheapFlights,Andorra,Flights,6.9703%
-1,KAYAK,Andorra,Flights,3.3271%
-1,Momondo,Andorra,Flights,3.5874%
-1,Hotelscombined,Andorra,Flights,5.0093%
-1,KAYAK,Andorra,Hotel,5.8300%
-1,Momondo,Andorra,Hotel,0.7905%
-1,Hotelscombined,Andorra,Hotel,7.9051%
-1,KAYAK,Andorra,Hotel Citywide,6.6532%
-1,Hotelscombined,Andorra,Hotel Citywide,2.3118%
-1,Momondo,Andorra,Hotel Citywide,0.7392%
-1,Hotelscombined,Andorra,Vacations,13.6364%
-1,Momondo,Angola,Car Rentals,24.0000%
-1,KAYAK,Angola,Car Rentals,2.5000%
-1,CheapFlights,Angola,Flights,7.5154%
-1,KAYAK,Angola,Flights,4.0896%
-1,Momondo,Angola,Flights,3.5206%
-1,Hotelscombined,Angola,Flights,4.9905%
-1,KAYAK,Angola,Hotel,6.5789%
-1,Hotelscombined,Angola,Hotel,5.4276%
-1,Momondo,Angola,Hotel,0.2467%
-1,KAYAK,Angola,Hotel Citywide,6.9898%
-1,Momondo,Angola,Hotel Citywide,1.4807%
-1,Hotelscombined,Angola,Hotel Citywide,1.5078%
-1,KAYAK,Angola,Vacations,15.0000%
-1,Hotelscombined,Angola,Vacations,10.0000%
-1,KAYAK,Anguilla,Flights,11.7958%
-1,CheapFlights,Anguilla,Flights,7.0423%
-1,Momondo,Anguilla,Flights,2.5528%
-1,Hotelscombined,Anguilla,Flights,3.4331%
-1,KAYAK,Anguilla,Hotel,1.4286%
-1,Hotelscombined,Anguilla,Hotel,2.8571%
-1,KAYAK,Anguilla,Hotel Citywide,7.3363%
-1,Momondo,Anguilla,Hotel Citywide,1.4108%
-1,Hotelscombined,Anguilla,Hotel Citywide,3.9503%
-1,CheapFlights,Anguilla,Hotel Citywide,0.0564%
-1,KAYAK,Antarctica,Hotel Citywide,22.9167%
-1,KAYAK,Antigua and Barbuda,Flights,8.2589%
-1,CheapFlights,Antigua and Barbuda,Flights,4.4643%
-1,Momondo,Antigua and Barbuda,Flights,2.9018%
-1,Hotelscombined,Antigua and Barbuda,Flights,4.8363%
-1,KAYAK,Antigua and Barbuda,Hotel,1.7717%
-1,Hotelscombined,Antigua and Barbuda,Hotel,5.3150%
-1,KAYAK,Antigua and Barbuda,Hotel Citywide,6.5385%
-1,Hotelscombined,Antigua and Barbuda,Hotel Citywide,3.2249%
-1,Momondo,Antigua and Barbuda,Hotel Citywide,1.0651%
-1,CheapFlights,Antigua and Barbuda,Hotel Citywide,0.1183%
-1,Momondo,Argentina,Car Rentals,23.8000%
-1,KAYAK,Argentina,Car Rentals,7.0000%
-1,Momondo,Argentina,Flights,6.4510%
-1,KAYAK,Argentina,Flights,5.9233%
-1,CheapFlights,Argentina,Flights,5.0810%
-1,Hotelscombined,Argentina,Flights,2.7007%
-1,Hotelscombined,Argentina,Hotel,6.3103%
-1,Momondo,Argentina,Hotel,3.7613%
-1,KAYAK,Argentina,Hotel,3.9027%
-1,KAYAK,Argentina,Hotel Citywide,3.1233%
-1,Momondo,Argentina,Hotel Citywide,3.8040%
-1,Hotelscombined,Argentina,Hotel Citywide,6.2599%
-1,Swoodoo,Argentina,Hotel Citywide,0.0008%
-1,Hotelscombined,Argentina,Vacations,15.2542%
-1,KAYAK,Armenia,Car Rentals,25.0000%
-1,Momondo,Armenia,Car Rentals,12.5000%
-1,KAYAK,Armenia,Flights,6.8944%
-1,CheapFlights,Armenia,Flights,6.8944%
-1,Momondo,Armenia,Flights,2.6882%
-1,Hotelscombined,Armenia,Flights,11.0373%
-1,KAYAK,Armenia,Hotel,5.6098%
-1,Hotelscombined,Armenia,Hotel,4.1463%
-1,Momondo,Armenia,Hotel,0.3659%
-1,KAYAK,Armenia,Hotel Citywide,8.6117%
-1,Momondo,Armenia,Hotel Citywide,1.2276%
-1,Hotelscombined,Armenia,Hotel Citywide,2.8660%
-1,KAYAK,Aruba,Car Rentals,19.6429%
-1,Momondo,Aruba,Car Rentals,19.6429%
-1,KAYAK,Aruba,Flights,11.9513%
-1,CheapFlights,Aruba,Flights,9.5065%
-1,Momondo,Aruba,Flights,2.9216%
-1,Hotelscombined,Aruba,Flights,5.4117%
-1,KAYAK,Aruba,Hotel,2.1516%
-1,Hotelscombined,Aruba,Hotel,4.2520%
-1,Momondo,Aruba,Hotel,0.1537%
-1,KAYAK,Aruba,Hotel Citywide,7.5419%
-1,Momondo,Aruba,Hotel Citywide,1.4578%
-1,Hotelscombined,Aruba,Hotel Citywide,4.2161%
-1,CheapFlights,Aruba,Hotel Citywide,0.0087%
-1,Momondo,Australia,Car Rentals,24.1228%
-1,KAYAK,Australia,Car Rentals,4.8246%
-1,CheapFlights,Australia,Flights,9.5009%
-1,KAYAK,Australia,Flights,6.2847%
-1,Momondo,Australia,Flights,5.2992%
-1,Travelsearch,Australia,Flights,5.5649%
-1,Hotelscombined,Australia,Flights,1.9755%
-1,Swoodoo,Australia,Flights,0.0012%
-1,Hotelscombined,Australia,Hotel,4.2457%
-1,Momondo,Australia,Hotel,0.1885%
-1,KAYAK,Australia,Hotel,1.2061%
-1,KAYAK,Australia,Hotel Citywide,4.5000%
-1,Momondo,Australia,Hotel Citywide,1.1889%
-1,Hotelscombined,Australia,Hotel Citywide,0.9461%
-1,Swoodoo,Australia,Hotel Citywide,0.0005%
-1,Hotelscombined,Australia,Vacations,10.8051%
-1,KAYAK,Australia,Vacations,0.2119%
-1,Momondo,Austria,Car Rentals,24.6032%
-1,KAYAK,Austria,Car Rentals,3.0754%
-1,Momondo,Austria,Flights,12.8474%
-1,CheapFlights,Austria,Flights,4.8395%
-1,Hotelscombined,Austria,Flights,3.4172%
-1,KAYAK,Austria,Flights,0.5708%
-1,Swoodoo,Austria,Flights,0.0054%
-1,KAYAK,Austria,Hotel,1.2337%
-1,Hotelscombined,Austria,Hotel,3.4905%
-1,Swoodoo,Austria,Hotel,0.3766%
-1,Momondo,Austria,Hotel,0.0682%
-1,KAYAK,Austria,Hotel Citywide,3.3105%
-1,Hotelscombined,Austria,Hotel Citywide,2.3271%
-1,Momondo,Austria,Hotel Citywide,3.0599%
-1,Swoodoo,Austria,Hotel Citywide,0.7871%
-1,Hotelscombined,Austria,Vacations,10.3481%
-1,KAYAK,Austria,Vacations,1.3876%
-1,Momondo,Azerbaijan,Car Rentals,25.0000%
-1,KAYAK,Azerbaijan,Car Rentals,6.2500%
-1,KAYAK,Azerbaijan,Flights,8.7966%
-1,CheapFlights,Azerbaijan,Flights,7.6030%
-1,Momondo,Azerbaijan,Flights,3.6952%
-1,Hotelscombined,Azerbaijan,Flights,9.0909%
-1,KAYAK,Azerbaijan,Hotel,7.9946%
-1,Hotelscombined,Azerbaijan,Hotel,3.7263%
-1,Momondo,Azerbaijan,Hotel,0.2033%
-1,KAYAK,Azerbaijan,Hotel Citywide,10.3660%
-1,Momondo,Azerbaijan,Hotel Citywide,1.7552%
-1,Hotelscombined,Azerbaijan,Hotel Citywide,2.9430%
-1,Hotelscombined,Azerbaijan,Vacations,12.5000%
-1,Momondo,Bahamas,Car Rentals,17.8571%
-1,KAYAK,Bahamas,Car Rentals,25.0000%
-1,KAYAK,Bahamas,Flights,9.4692%
-1,CheapFlights,Bahamas,Flights,5.6336%
-1,Momondo,Bahamas,Flights,2.3801%
-1,Hotelscombined,Bahamas,Flights,4.3322%
-1,KAYAK,Bahamas,Hotel,2.3967%
-1,Hotelscombined,Bahamas,Hotel,5.3975%
-1,Momondo,Bahamas,Hotel,0.2923%
-1,KAYAK,Bahamas,Hotel Citywide,8.3251%
-1,Momondo,Bahamas,Hotel Citywide,1.2154%
-1,Hotelscombined,Bahamas,Hotel Citywide,3.6957%
-1,CheapFlights,Bahamas,Hotel Citywide,0.0346%
-1,Hotelscombined,Bahamas,Vacations,6.2500%
-1,Momondo,Bahrain,Car Rentals,25.0000%
-1,KAYAK,Bahrain,Car Rentals,11.5385%
-1,KAYAK,Bahrain,Flights,8.6899%
-1,Momondo,Bahrain,Flights,3.5691%
-1,CheapFlights,Bahrain,Flights,4.5389%
-1,Hotelscombined,Bahrain,Flights,6.8998%
-1,KAYAK,Bahrain,Hotel,6.2903%
-1,Hotelscombined,Bahrain,Hotel,4.5161%
-1,Momondo,Bahrain,Hotel,0.3495%
-1,KAYAK,Bahrain,Hotel Citywide,6.3839%
-1,Hotelscombined,Bahrain,Hotel Citywide,2.0055%
-1,Momondo,Bahrain,Hotel Citywide,0.4640%
-1,Swoodoo,Bahrain,Hotel Citywide,0.0031%
-1,Hotelscombined,Bahrain,Vacations,2.5000%
-1,Momondo,Bangladesh,Car Rentals,12.5000%
-1,KAYAK,Bangladesh,Car Rentals,6.2500%
-1,KAYAK,Bangladesh,Flights,12.3775%
-1,Momondo,Bangladesh,Flights,4.7439%
-1,CheapFlights,Bangladesh,Flights,6.4588%
-1,Hotelscombined,Bangladesh,Flights,4.3040%
-1,KAYAK,Bangladesh,Hotel,5.6331%
-1,Hotelscombined,Bangladesh,Hotel,5.9073%
-1,Momondo,Bangladesh,Hotel,2.1436%
-1,KAYAK,Bangladesh,Hotel Citywide,12.2836%
-1,Momondo,Bangladesh,Hotel Citywide,2.2646%
-1,Hotelscombined,Bangladesh,Hotel Citywide,3.6936%
-1,Swoodoo,Bangladesh,Hotel Citywide,0.0015%
-1,Momondo,Barbados,Car Rentals,25.0000%
-1,KAYAK,Barbados,Flights,10.3653%
-1,CheapFlights,Barbados,Flights,5.1056%
-1,Momondo,Barbados,Flights,2.5528%
-1,Hotelscombined,Barbados,Flights,5.5898%
-1,KAYAK,Barbados,Hotel,1.6352%
-1,Hotelscombined,Barbados,Hotel,3.8679%
-1,Momondo,Barbados,Hotel,0.1572%
-1,KAYAK,Barbados,Hotel Citywide,9.4860%
-1,Hotelscombined,Barbados,Hotel Citywide,2.4617%
-1,Momondo,Barbados,Hotel Citywide,1.0179%
-1,CheapFlights,Barbados,Hotel Citywide,0.0505%
-1,Hotelscombined,Barbados,Vacations,5.5556%
-1,Momondo,Belarus,Car Rentals,25.0000%
-1,KAYAK,Belarus,Flights,4.7927%
-1,CheapFlights,Belarus,Flights,7.5130%
-1,Momondo,Belarus,Flights,3.0009%
-1,Hotelscombined,Belarus,Flights,0.0216%
-1,KAYAK,Belarus,Hotel,4.0667%
-1,Momondo,Belarus,Hotel,0.6000%
-1,KAYAK,Belarus,Hotel Citywide,6.0316%
-1,Momondo,Belarus,Hotel Citywide,1.4379%
-1,Swoodoo,Belarus,Hotel Citywide,0.0552%
-1,Hotelscombined,Belarus,Hotel Citywide,0.0493%
-1,Momondo,Belgium,Car Rentals,21.8681%
-1,KAYAK,Belgium,Car Rentals,18.9579%
-1,CheapFlights,Belgium,Flights,6.9986%
-1,KAYAK,Belgium,Flights,7.9919%
-1,Momondo,Belgium,Flights,9.7793%
