"key","brand","country","vertical","cost_amt","click_cnt","avg_cpc_meas","search_cnt","sov_meas"
,,Svalbard and Jan Mayen,Hotel Citywide,0.0,0,0.0,6,0.0000000000000000000
Hotelscombined_Hashemite Kingdom of Jordan_Hotel Citywide,Hotelscombined,Hashemite Kingdom of Jordan,Hotel Citywide,6.95,1014,0.006854043392504931,10562,0.0960045445938269267
Momondo_Hashemite Kingdom of Jordan_Hotel Citywide,Momondo,Hashemite Kingdom of Jordan,Hotel Citywide,4.313599999999999,297,0.014523905723905722,10562,0.0281196743041090702
KAYAK_Hashemite Kingdom of Jordan_Hotel Citywide,KAYAK,Hashemite Kingdom of Jordan,Hotel Citywide,142.76030000000003,3748,0.03808972785485593,10562,0.3548570346525279303
Swoodoo_Hashemite Kingdom of Jordan_Hotel Citywide,Swoodoo,Hashemite Kingdom of Jordan,Hotel Citywide,0.0376,2,0.0188,10562,0.0001893580761219466
Hotelscombined_Macau_Hotel Citywide,Hotelscombined,Macau,Hotel Citywide,0.9438999999999997,156,0.006050641025641024,998,0.1563126252505010020
KAYAK_Macau_Hotel Citywide,KAYAK,Macau,Hotel Citywide,13.826099999999999,440,0.03142295454545454,998,0.4408817635270541082
Momondo_Macau_Hotel Citywide,Momondo,Macau,Hotel Citywide,0.7985,40,0.0199625,998,0.0400801603206412825
,,Western Sahara,Hotel Citywide,0.0,0,0.0,1,0.0000000000000000000
KAYAK_Cameroon_Hotel Citywide,KAYAK,Cameroon,Hotel Citywide,60.095000000000006,2429,0.024740634005763693,16219,0.1497626240828657747
Momondo_Cameroon_Hotel Citywide,Momondo,Cameroon,Hotel Citywide,5.630799999999999,677,0.008317282127031018,16219,0.0417411677662001356
Hotelscombined_Cameroon_Hotel Citywide,Hotelscombined,Cameroon,Hotel Citywide,3.9670999999999994,1518,0.0026133728590250326,16219,0.0935939330414945434
Hotelscombined_Gambia_Hotel Citywide,Hotelscombined,Gambia,Hotel Citywide,0.39529999999999993,78,0.005067948717948717,912,0.0855263157894736842
KAYAK_Gambia_Hotel Citywide,KAYAK,Gambia,Hotel Citywide,5.731699999999999,141,0.04065035460992907,912,0.1546052631578947368
Momondo_Gambia_Hotel Citywide,Momondo,Gambia,Hotel Citywide,0.5640000000000001,34,0.01658823529411765,912,0.0372807017543859649
KAYAK_American Samoa_Hotel Citywide,KAYAK,American Samoa,Hotel Citywide,0.1074,3,0.0358,18,0.1666666666666666666
Momondo_American Samoa_Hotel Citywide,Momondo,American Samoa,Hotel Citywide,0.0651,3,0.0217,18,0.1666666666666666666
