"key","brand","country","vertical","cost_amt","click_cnt","avg_cpc_meas","search_cnt","sov_meas"
Hotelscombined_Guernsey_Vacations,Hotelscombined,Guernsey,Vacations,0.09029999999999998,27,0.0033444444444444437,47,0.5744680851063829787
KAYAK_Denmark_Vacations,KAYAK,Denmark,Vacations,1.8665999999999998,21,0.08888571428571428,526,0.0399239543726235741
Hotelscombined_Denmark_Vacations,Hotelscombined,Denmark,Vacations,7.119399999999999,403,0.017666004962779154,526,0.7661596958174904942
,,Falkland Islands,Vacations,0.0,0,0.0,2,0.0000000000000000000
Hotelscombined_Martinique_Vacations,Hotelscombined,Martinique,Vacations,0.1257,3,0.0419,96,0.0312500000000000000
KAYAK_Martinique_Vacations,KAYAK,Martinique,Vacations,0.6382000000000001,11,0.05801818181818183,96,0.1145833333333333333
KAYAK_Cyprus_Vacations,KAYAK,Cyprus,Vacations,0.9604999999999999,13,0.07388461538461538,112,0.1160714285714285714
Hotelscombined_Cyprus_Vacations,Hotelscombined,Cyprus,Vacations,1.1494,71,0.016188732394366197,112,0.6339285714285714285
Hotelscombined_Sierra Leone_Vacations,Hotelscombined,Sierra Leone,Vacations,0.0129,1,0.0129,3,0.3333333333333333333
Hotelscombined_New Caledonia_Vacations,Hotelscombined,New Caledonia,Vacations,0.31140000000000007,12,0.025950000000000004,44,0.2727272727272727272
KAYAK_New Caledonia_Vacations,KAYAK,New Caledonia,Vacations,1.1290000000000002,21,0.053761904761904775,44,0.4772727272727272727
Hotelscombined_Bulgaria_Vacations,Hotelscombined,Bulgaria,Vacations,1.3307999999999995,80,0.016634999999999994,121,0.6611570247933884297
KAYAK_Bulgaria_Vacations,KAYAK,Bulgaria,Vacations,0.5041,8,0.0630125,121,0.0661157024793388429
KAYAK_Equatorial Guinea_Vacations,KAYAK,Equatorial Guinea,Vacations,0.1271,2,0.06355,3,0.6666666666666666666
,,Sint Maarten,Vacations,0.0,0,0.0,1,0.0000000000000000000
KAYAK_United Kingdom_Vacations,KAYAK,United Kingdom,Vacations,1680.7033999999942,117942,0.01425025351443925,176278,0.6690681764031813385
Hotelscombined_United Kingdom_Vacations,Hotelscombined,United Kingdom,Vacations,84.11439999999992,6722,0.012513299613210342,176278,0.0381329490917754909
Hotelscombined_Argentina_Vacations,Hotelscombined,Argentina,Vacations,3.1383999999999994,171,0.018353216374269003,219,0.7808219178082191780
KAYAK_Argentina_Vacations,KAYAK,Argentina,Vacations,0.28049999999999997,4,0.07012499999999999,219,0.0182648401826484018
Hotelscombined_Oman_Vacations,Hotelscombined,Oman,Vacations,0.10570000000000002,6,0.01761666666666667,8,0.7500000000000000000
Hotelscombined_Chad_Vacations,Hotelscombined,Chad,Vacations,0.0331,2,0.01655,3,0.6666666666666666666
KAYAK_Chad_Vacations,KAYAK,Chad,Vacations,0.0635,1,0.0635,3,0.3333333333333333333
Hotelscombined_Djibouti_Vacations,Hotelscombined,Djibouti,Vacations,0.0188,1,0.0188,2,0.5000000000000000000
Hotelscombined_Costa Rica_Vacations,Hotelscombined,Costa Rica,Vacations,1.4704000000000004,96,0.015316666666666671,114,0.8421052631578947368
Hotelscombined_Israel_Vacations,Hotelscombined,Israel,Vacations,4.7658,254,0.01876299212598425,438,0.5799086757990867579
KAYAK_Israel_Vacations,KAYAK,Israel,Vacations,2.0308,36,0.05641111111111111,438,0.0821917808219178082
Hotelscombined_Kuwait_Vacations,Hotelscombined,Kuwait,Vacations,0.3133,19,0.016489473684210526,31,0.6129032258064516129
Hotelscombined_Slovakia_Vacations,Hotelscombined,Slovakia,Vacations,3.5702000000000007,218,0.01637706422018349,337,0.6468842729970326409
KAYAK_Slovakia_Vacations,KAYAK,Slovakia,Vacations,2.5677,34,0.07552058823529412,337,0.1008902077151335311
