"key","brand","country","vertical","cost_amt","click_cnt","avg_cpc_meas","search_cnt","sov_meas"
Momondo_Kosovo_Hotel Citywide,Momondo,Kosovo,Hotel Citywide,0.0644,9,0.007155555555555556,217,0.0414746543778801843
Swoodoo_Kosovo_Hotel Citywide,Swoodoo,Kosovo,Hotel Citywide,0.0212,1,0.0212,217,0.0046082949308755760
KAYAK_Kosovo_Hotel Citywide,KAYAK,Kosovo,Hotel Citywide,1.7943999999999998,88,0.020390909090909088,217,0.4055299539170506912
Hotelscombined_Kosovo_Hotel Citywide,Hotelscombined,Kosovo,Hotel Citywide,0.12719999999999998,43,0.0029581395348837205,217,0.1981566820276497695
Momondo_Anguilla_Hotel Citywide,Momondo,Anguilla,Hotel Citywide,0.3087,25,0.012348,443,0.0564334085778781038
KAYAK_Anguilla_Hotel Citywide,KAYAK,Anguilla,Hotel Citywide,4.288,130,0.03298461538461539,443,0.2934537246049661399
CheapFlights_Anguilla_Hotel Citywide,CheapFlights,Anguilla,Hotel Citywide,0.006,1,0.006,443,0.0022573363431151241
Hotelscombined_Anguilla_Hotel Citywide,Hotelscombined,Anguilla,Hotel Citywide,0.2478,70,0.0035399999999999997,443,0.1580135440180586907
Swoodoo_Germany_Hotel Citywide,Swoodoo,Germany,Hotel Citywide,4477.035299999915,404474,0.011068783902055299,3125776,0.1293995475043637164
Momondo_Germany_Hotel Citywide,Momondo,Germany,Hotel Citywide,4683.413900000336,580664,0.008065617809956079,3125776,0.1857663504998438787
KAYAK_Germany_Hotel Citywide,KAYAK,Germany,Hotel Citywide,2101.2939999999608,276305,0.007604980003980966,3125776,0.0883956495922932417
Hotelscombined_Germany_Hotel Citywide,Hotelscombined,Germany,Hotel Citywide,1178.9935999999934,118123,0.00998106719267199,3125776,0.0377899759931613781
Momondo_Gibraltar_Hotel Citywide,Momondo,Gibraltar,Hotel Citywide,1.2408999999999997,84,0.014772619047619043,1474,0.0569877883310719131
KAYAK_Gibraltar_Hotel Citywide,KAYAK,Gibraltar,Hotel Citywide,12.383099999999995,562,0.022033985765124546,1474,0.3812754409769335142
Swoodoo_Gibraltar_Hotel Citywide,Swoodoo,Gibraltar,Hotel Citywide,0.0141,1,0.0141,1474,0.0006784260515603799
Hotelscombined_Gibraltar_Hotel Citywide,Hotelscombined,Gibraltar,Hotel Citywide,0.6275,137,0.004580291970802919,1474,0.0929443690637720488
Hotelscombined_Marshall Islands_Hotel Citywide,Hotelscombined,Marshall Islands,Hotel Citywide,0.0325,3,0.010833333333333334,30,0.1000000000000000000
Momondo_Marshall Islands_Hotel Citywide,Momondo,Marshall Islands,Hotel Citywide,0.053799999999999994,4,0.013449999999999998,30,0.1333333333333333333
KAYAK_Marshall Islands_Hotel Citywide,KAYAK,Marshall Islands,Hotel Citywide,0.3558,15,0.02372,30,0.5000000000000000000
Momondo_Estonia_Hotel Citywide,Momondo,Estonia,Hotel Citywide,12.284099999999999,980,0.012534795918367345,18670,0.0524906266738082485
Swoodoo_Estonia_Hotel Citywide,Swoodoo,Estonia,Hotel Citywide,0.20350000000000001,16,0.012718750000000001,18670,0.0008569898232458489
KAYAK_Estonia_Hotel Citywide,KAYAK,Estonia,Hotel Citywide,164.52330000000003,7006,0.023483200114187842,18670,0.3752544188537761114
Hotelscombined_Estonia_Hotel Citywide,Hotelscombined,Estonia,Hotel Citywide,9.168,1799,0.005096164535853252,18670,0.0963577932512051419
CheapFlights_Dominica_Hotel Citywide,CheapFlights,Dominica,Hotel Citywide,0.008,1,0.008,446,0.0022421524663677130
Momondo_Dominica_Hotel Citywide,Momondo,Dominica,Hotel Citywide,0.2434,24,0.010141666666666667,446,0.0538116591928251121
KAYAK_Dominica_Hotel Citywide,KAYAK,Dominica,Hotel Citywide,3.4813,191,0.01822670157068063,446,0.4282511210762331838
Hotelscombined_Dominica_Hotel Citywide,Hotelscombined,Dominica,Hotel Citywide,0.15190000000000003,52,0.0029211538461538468,446,0.1165919282511210762
Swoodoo_Nigeria_Hotel Citywide,Swoodoo,Nigeria,Hotel Citywide,0.046700000000000005,2,0.023350000000000003,40794,0.0000490268176692650
KAYAK_Nigeria_Hotel Citywide,KAYAK,Nigeria,Hotel Citywide,148.61239999999998,6346,0.023418279231011658,40794,0.1555620924645781242
Hotelscombined_Nigeria_Hotel Citywide,Hotelscombined,Nigeria,Hotel Citywide,11.180800000000001,2449,0.004565455287872602,40794,0.0600333382360151002
Momondo_Nigeria_Hotel Citywide,Momondo,Nigeria,Hotel Citywide,11.241399999999999,1041,0.010798655139289143,40794,0.0255184585968524783
KAYAK_Finland_Hotel Citywide,KAYAK,Finland,Hotel Citywide,35.75350000000001,2852,0.012536290322580648,44007,0.0648078714749926148
Swoodoo_Finland_Hotel Citywide,Swoodoo,Finland,Hotel Citywide,0.9128000000000001,65,0.014043076923076924,44007,0.0014770377439952734
Momondo_Finland_Hotel Citywide,Momondo,Finland,Hotel Citywide,645.2147000000006,12590,0.051248189038919825,44007,0.2860908491830845092
Hotelscombined_Finland_Hotel Citywide,Hotelscombined,Finland,Hotel Citywide,23.633800000000008,5084,0.004648662470495674,44007,0.1155270752380303133
KAYAK_Cocos [Keeling] Islands_Hotel Citywide,KAYAK,Cocos [Keeling] Islands,Hotel Citywide,0.0616,2,0.0308,7,0.2857142857142857142
Momondo_Cocos [Keeling] Islands_Hotel Citywide,Momondo,Cocos [Keeling] Islands,Hotel Citywide,0.0085,1,0.0085,7,0.1428571428571428571
Hotelscombined_Cocos [Keeling] Islands_Hotel Citywide,Hotelscombined,Cocos [Keeling] Islands,Hotel Citywide,0.002,2,0.001,7,0.2857142857142857142
