brand,country,vertical,device,sov
KAYAK,Afghanistan,Flights,ALL,1.25%
Hotelscombined,Afghanistan,Flights,ALL,11.60%
CheapFlights,Afghanistan,Flights,ALL,0.54%
Momondo,Afghanistan,Flights,ALL,0.71%
Hotelscombined,Afghanistan,Hotel,ALL,11.81%
KAYAK,Afghanistan,Hotel,ALL,6.64%
Momondo,Afghanistan,Hotel,ALL,1.48%
KAYAK,Afghanistan,Hotel Citywide,ALL,5.58%
Momondo,Afghanistan,Hotel Citywide,ALL,2.49%
Hotelscombined,Afghanistan,Hotel Citywide,ALL,1.42%
KAYAK,Albania,Car Rentals,ALL,23.42%
Momondo,Albania,Car Rentals,ALL,4.04%
KAYAK,Albania,Flights,ALL,9.94%
CheapFlights,Albania,Flights,ALL,2.71%
Hotelscombined,Albania,Flights,ALL,11.14%
Momondo,Albania,Flights,ALL,3.82%
Momondo,Albania,Hotel,ALL,3.13%
Hotelscombined,Albania,Hotel,ALL,9.80%
KAYAK,Albania,Hotel,ALL,2.38%
KAYAK,Albania,Hotel Citywide,ALL,6.41%
Momondo,Albania,Hotel Citywide,ALL,2.20%
Hotelscombined,Albania,Hotel Citywide,ALL,5.24%
KAYAK,Algeria,Car Rentals,ALL,21.86%
Momondo,Algeria,Car Rentals,ALL,3.12%
CheapFlights,Algeria,Flights,ALL,0.30%
Hotelscombined,Algeria,Flights,ALL,4.45%
KAYAK,Algeria,Flights,ALL,0.30%
Momondo,Algeria,Flights,ALL,0.13%
Momondo,Algeria,Hotel,ALL,3.96%
KAYAK,Algeria,Hotel,ALL,6.28%
Hotelscombined,Algeria,Hotel,ALL,6.47%
KAYAK,Algeria,Hotel Citywide,ALL,4.44%
Momondo,Algeria,Hotel Citywide,ALL,2.70%
Hotelscombined,Algeria,Hotel Citywide,ALL,5.69%
Momondo,American Samoa,Flights,ALL,9.27%
CheapFlights,American Samoa,Flights,ALL,3.57%
KAYAK,American Samoa,Flights,ALL,2.85%
Hotelscombined,American Samoa,Flights,ALL,2.85%
KAYAK,American Samoa,Hotel,ALL,4.57%
Hotelscombined,American Samoa,Hotel,ALL,11.24%
Momondo,American Samoa,Hotel,ALL,1.41%
KAYAK,American Samoa,Hotel Citywide,ALL,7.28%
Momondo,American Samoa,Hotel Citywide,ALL,1.97%
Hotelscombined,American Samoa,Hotel Citywide,ALL,4.54%
Momondo,Andorra,Car Rentals,ALL,12.50%
KAYAK,Andorra,Car Rentals,ALL,12.50%
KAYAK,Andorra,Flights,ALL,13.25%
CheapFlights,Andorra,Flights,ALL,4.42%
Momondo,Andorra,Flights,ALL,4.71%
Hotelscombined,Andorra,Flights,ALL,3.84%
Momondo,Andorra,Hotel,ALL,2.16%
Hotelscombined,Andorra,Hotel,ALL,9.30%
KAYAK,Andorra,Hotel,ALL,1.97%
KAYAK,Andorra,Hotel Citywide,ALL,8.59%
Momondo,Andorra,Hotel Citywide,ALL,5.15%
Hotelscombined,Andorra,Hotel Citywide,ALL,3.41%
KAYAK,Angola,Car Rentals,ALL,19.11%
Momondo,Angola,Car Rentals,ALL,6.62%
KAYAK,Angola,Flights,ALL,15.48%
Momondo,Angola,Flights,ALL,5.71%
CheapFlights,Angola,Flights,ALL,3.30%
Hotelscombined,Angola,Flights,ALL,4.82%
Momondo,Angola,Hotel,ALL,3.62%
KAYAK,Angola,Hotel,ALL,8.14%
Hotelscombined,Angola,Hotel,ALL,6.35%
KAYAK,Angola,Hotel Citywide,ALL,10.17%
Momondo,Angola,Hotel Citywide,ALL,3.57%
Hotelscombined,Angola,Hotel Citywide,ALL,1.56%
KAYAK,Anguilla,Flights,ALL,2.00%
Momondo,Anguilla,Flights,ALL,0.44%
Hotelscombined,Anguilla,Flights,ALL,7.32%
CheapFlights,Anguilla,Flights,ALL,0.44%
Hotelscombined,Anguilla,Hotel,ALL,9.37%
Momondo,Anguilla,Hotel,ALL,2.08%
KAYAK,Anguilla,Hotel,ALL,4.68%
KAYAK,Anguilla,Hotel Citywide,ALL,7.02%
Momondo,Anguilla,Hotel Citywide,ALL,1.71%
Hotelscombined,Anguilla,Hotel Citywide,ALL,3.26%
CheapFlights,Anguilla,Hotel Citywide,ALL,0.21%
Momondo,Antigua and Barbuda,Car Rentals,ALL,25.00%
KAYAK,Antigua and Barbuda,Flights,ALL,1.74%
CheapFlights,Antigua and Barbuda,Flights,ALL,0.99%
Momondo,Antigua and Barbuda,Flights,ALL,0.99%
Hotelscombined,Antigua and Barbuda,Flights,ALL,8.26%
Hotelscombined,Antigua and Barbuda,Hotel,ALL,9.54%
Momondo,Antigua and Barbuda,Hotel,ALL,3.22%
KAYAK,Antigua and Barbuda,Hotel,ALL,3.99%
KAYAK,Antigua and Barbuda,Hotel Citywide,ALL,5.87%
Momondo,Antigua and Barbuda,Hotel Citywide,ALL,2.36%
Hotelscombined,Antigua and Barbuda,Hotel Citywide,ALL,1.95%
