brand,country,vertical,sov
KAYAK,Afghanistan,Flights,7.2438%
Hotelscombined,Afghanistan,Flights,8.9223%
Momondo,Afghanistan,Flights,1.0601%
CheapFlights,Afghanistan,Flights,0.7951%
KAYAK,Afghanistan,Hotel,3.7037%
Hotelscombined,Afghanistan,Hotel,4.6296%
KAYAK,Afghanistan,Hotel Citywide,10.1809%
Momondo,Afghanistan,Hotel Citywide,2.1620%
Hotelscombined,Afghanistan,Hotel Citywide,2.6730%
KAYAK,Albania,Flights,3.0162%
CheapFlights,Albania,Flights,3.5951%
Hotelscombined,Albania,Flights,13.6832%
Momondo,Albania,Flights,2.6209%
KAYAK,Albania,Hotel,7.5078%
Hotelscombined,Albania,Hotel,9.5975%
Momondo,Albania,Hotel,0.6966%
Swoodoo,Albania,Hotel,0.0774%
KAYAK,Albania,Hotel Citywide,7.5666%
Momondo,Albania,Hotel Citywide,0.9783%
Hotelscombined,Albania,Hotel Citywide,3.8817%
Swoodoo,Albania,Hotel Citywide,0.0040%
Hotelscombined,Albania,Vacations,13.7255%
KAYAK,Albania,Vacations,0.9804%
Momondo,Algeria,Car Rentals,24.9999%
Hotelscombined,Algeria,Flights,5.2763%
KAYAK,Algeria,Flights,0.0829%
Momondo,Algeria,Flights,0.0816%
CheapFlights,Algeria,Flights,0.1166%
Hotelscombined,Algeria,Hotel,6.7170%
KAYAK,Algeria,Hotel,6.1387%
Momondo,Algeria,Hotel,1.0231%
KAYAK,Algeria,Hotel Citywide,6.1672%
Hotelscombined,Algeria,Hotel Citywide,3.6077%
Momondo,Algeria,Hotel Citywide,1.1307%
KAYAK,Algeria,Vacations,9.4828%
Hotelscombined,Algeria,Vacations,5.1724%
KAYAK,American Samoa,Flights,15.6250%
Hotelscombined,American Samoa,Hotel,5.0000%
KAYAK,American Samoa,Hotel,5.0000%
KAYAK,American Samoa,Hotel Citywide,4.1667%
Momondo,American Samoa,Hotel Citywide,4.1667%
Hotelscombined,American Samoa,Hotel Citywide,2.7778%
KAYAK,Andorra,Flights,5.2070%
CheapFlights,Andorra,Flights,5.8431%
Momondo,Andorra,Flights,2.1449%
Hotelscombined,Andorra,Flights,6.5384%
KAYAK,Andorra,Hotel,10.9467%
Hotelscombined,Andorra,Hotel,4.5858%
Momondo,Andorra,Hotel,0.1479%
KAYAK,Andorra,Hotel Citywide,7.0401%
Hotelscombined,Andorra,Hotel Citywide,2.5769%
Momondo,Andorra,Hotel Citywide,0.7688%
Hotelscombined,Andorra,Vacations,16.3979%
KAYAK,Andorra,Vacations,0.8065%
Momondo,Angola,Car Rentals,24.1935%
KAYAK,Angola,Car Rentals,0.8065%
CheapFlights,Angola,Flights,6.0006%
KAYAK,Angola,Flights,4.8755%
Hotelscombined,Angola,Flights,5.4080%
Momondo,Angola,Flights,2.0402%
KAYAK,Angola,Hotel,8.2558%
Hotelscombined,Angola,Hotel,6.3953%
Momondo,Angola,Hotel,0.3488%
KAYAK,Angola,Hotel Citywide,7.8045%
Momondo,Angola,Hotel Citywide,1.7028%
Hotelscombined,Angola,Hotel Citywide,2.1124%
Swoodoo,Angola,Hotel Citywide,0.0032%
KAYAK,Angola,Vacations,8.3333%
Hotelscombined,Angola,Vacations,8.3333%
KAYAK,Anguilla,Flights,3.6649%
Momondo,Anguilla,Flights,1.0471%
Hotelscombined,Anguilla,Flights,8.1152%
CheapFlights,Anguilla,Flights,0.3927%
KAYAK,Anguilla,Hotel,4.7795%
Hotelscombined,Anguilla,Hotel,4.4119%
Momondo,Anguilla,Hotel,0.3677%
KAYAK,Anguilla,Hotel Citywide,6.1302%
Hotelscombined,Anguilla,Hotel Citywide,3.1130%
Momondo,Anguilla,Hotel Citywide,1.1015%
CheapFlights,Anguilla,Hotel Citywide,0.0958%
KAYAK,Antarctica,Hotel Citywide,8.3333%
Hotelscombined,Antarctica,Hotel Citywide,2.0833%
KAYAK,Antigua and Barbuda,Flights,5.2552%
Momondo,Antigua and Barbuda,Flights,1.3513%
Hotelscombined,Antigua and Barbuda,Flights,5.7057%
CheapFlights,Antigua and Barbuda,Flights,0.3003%
KAYAK,Antigua and Barbuda,Hotel,3.1819%
Hotelscombined,Antigua and Barbuda,Hotel,3.6365%
Momondo,Antigua and Barbuda,Hotel,0.6818%
KAYAK,Antigua and Barbuda,Hotel Citywide,5.2568%
Momondo,Antigua and Barbuda,Hotel Citywide,1.0901%
Hotelscombined,Antigua and Barbuda,Hotel Citywide,2.0591%
CheapFlights,Antigua and Barbuda,Hotel Citywide,0.0969%
Momondo,Argentina,Car Rentals,23.3784%
KAYAK,Argentina,Car Rentals,5.5405%
