brand,country,vertical,sov
KAYAK,Afghanistan,Flights,3.5087%
Momondo,Afghanistan,Flights,1.3889%
Hotelscombined,Afghanistan,Flights,11.2572%
CheapFlights,Afghanistan,Flights,1.0965%
KAYAK,Afghanistan,Hotel,13.1579%
Hotelscombined,Afghanistan,Hotel,11.8421%
KAYAK,Afghanistan,Hotel Citywide,10.3947%
Momondo,Afghanistan,Hotel Citywide,2.4659%
Hotelscombined,Afghanistan,Hotel Citywide,3.0349%
Momondo,Albania,Car Rentals,25.0000%
CheapFlights,Albania,Flights,4.5838%
KAYAK,Albania,Flights,2.8826%
Momondo,Albania,Flights,3.3367%
Hotelscombined,Albania,Flights,13.0868%
KAYAK,Albania,Hotel,7.3864%
Momondo,Albania,Hotel,1.3258%
Hotelscombined,Albania,Hotel,10.1642%
KAYAK,Albania,Hotel Citywide,7.4133%
Momondo,Albania,Hotel Citywide,1.0425%
Hotelscombined,Albania,Hotel Citywide,2.9090%
Swoodoo,Albania,Hotel Citywide,0.0071%
Hotelscombined,Albania,Vacations,16.1363%
KAYAK,Albania,Vacations,0.4545%
Momondo,Algeria,Car Rentals,24.9999%
Hotelscombined,Algeria,Flights,5.8250%
KAYAK,Algeria,Flights,0.1764%
CheapFlights,Algeria,Flights,0.2523%
Momondo,Algeria,Flights,0.1240%
KAYAK,Algeria,Hotel,10.2677%
Momondo,Algeria,Hotel,1.9841%
Hotelscombined,Algeria,Hotel,6.4979%
KAYAK,Algeria,Hotel Citywide,6.3676%
Momondo,Algeria,Hotel Citywide,1.5373%
Hotelscombined,Algeria,Hotel Citywide,2.5497%
KAYAK,Algeria,Vacations,15.6780%
Hotelscombined,Algeria,Vacations,2.9661%
KAYAK,American Samoa,Flights,25.0000%
Momondo,American Samoa,Flights,8.3333%
KAYAK,American Samoa,Hotel,8.3334%
Hotelscombined,American Samoa,Hotel,8.3334%
KAYAK,American Samoa,Hotel Citywide,21.4791%
Momondo,American Samoa,Hotel Citywide,0.7042%
Hotelscombined,American Samoa,Hotel Citywide,2.4648%
Momondo,Andorra,Car Rentals,25.0000%
CheapFlights,Andorra,Flights,7.6126%
KAYAK,Andorra,Flights,4.2997%
Momondo,Andorra,Flights,4.4094%
Hotelscombined,Andorra,Flights,6.8686%
KAYAK,Andorra,Hotel,8.6666%
Hotelscombined,Andorra,Hotel,3.5000%
Momondo,Andorra,Hotel,0.7500%
KAYAK,Andorra,Hotel Citywide,6.2552%
Hotelscombined,Andorra,Hotel Citywide,2.6029%
Momondo,Andorra,Hotel Citywide,1.2157%
Swoodoo,Andorra,Hotel Citywide,0.0052%
Hotelscombined,Andorra,Vacations,14.1214%
KAYAK,Andorra,Vacations,0.6276%
Momondo,Angola,Car Rentals,25.0000%
CheapFlights,Angola,Flights,6.7180%
KAYAK,Angola,Flights,3.6681%
Momondo,Angola,Flights,3.9247%
Hotelscombined,Angola,Flights,5.3126%
KAYAK,Angola,Hotel,9.4037%
Momondo,Angola,Hotel,1.9113%
Hotelscombined,Angola,Hotel,5.2752%
KAYAK,Angola,Hotel Citywide,9.2606%
Momondo,Angola,Hotel Citywide,1.5334%
Hotelscombined,Angola,Hotel Citywide,1.4784%
Hotelscombined,Angola,Vacations,15.6249%
KAYAK,Angola,Vacations,3.1250%
KAYAK,Anguilla,Flights,4.4372%
Momondo,Anguilla,Flights,1.4069%
CheapFlights,Anguilla,Flights,0.6493%
Hotelscombined,Anguilla,Flights,5.4112%
KAYAK,Anguilla,Hotel,6.5791%
Momondo,Anguilla,Hotel,0.7895%
Hotelscombined,Anguilla,Hotel,7.3686%
KAYAK,Anguilla,Hotel Citywide,6.6053%
Momondo,Anguilla,Hotel Citywide,1.4632%
Hotelscombined,Anguilla,Hotel Citywide,2.2575%
Momondo,Antarctica,Hotel Citywide,16.6667%
KAYAK,Antarctica,Hotel Citywide,16.6667%
Hotelscombined,Antarctica,Hotel Citywide,8.3333%
KAYAK,Antigua and Barbuda,Flights,5.3008%
Momondo,Antigua and Barbuda,Flights,1.2894%
CheapFlights,Antigua and Barbuda,Flights,0.7880%
Hotelscombined,Antigua and Barbuda,Flights,5.7306%
KAYAK,Antigua and Barbuda,Hotel,3.5986%
Momondo,Antigua and Barbuda,Hotel,1.1364%
Hotelscombined,Antigua and Barbuda,Hotel,6.4395%
KAYAK,Antigua and Barbuda,Hotel Citywide,7.5215%
Momondo,Antigua and Barbuda,Hotel Citywide,1.8863%
Hotelscombined,Antigua and Barbuda,Hotel Citywide,2.1251%
CheapFlights,Antigua and Barbuda,Hotel Citywide,0.0239%
Hotelscombined,Antigua and Barbuda,Vacations,25.0000%
Momondo,Argentina,Car Rentals,22.6861%
KAYAK,Argentina,Car Rentals,3.0853%
Momondo,Argentina,Flights,5.3153%
KAYAK,Argentina,Flights,3.2852%
Hotelscombined,Argentina,Flights,1.7356%
CheapFlights,Argentina,Flights,1.5232%
Momondo,Argentina,Hotel,4.1052%
Hotelscombined,Argentina,Hotel,5.2594%
KAYAK,Argentina,Hotel,2.5269%
Momondo,Argentina,Hotel Citywide,4.8281%
KAYAK,Argentina,Hotel Citywide,1.5106%
Hotelscombined,Argentina,Hotel Citywide,7.4278%
Swoodoo,Argentina,Hotel Citywide,0.0008%
Hotelscombined,Argentina,Vacations,19.5204%
KAYAK,Argentina,Vacations,0.4566%
KAYAK,Armenia,Flights,1.9552%
CheapFlights,Armenia,Flights,1.5945%
Momondo,Armenia,Flights,1.2528%
Hotelscombined,Armenia,Flights,11.0856%
KAYAK,Armenia,Hotel,11.8369%
Momondo,Armenia,Hotel,2.1429%
Hotelscombined,Armenia,Hotel,6.5307%
KAYAK,Armenia,Hotel Citywide,8.9676%
Momondo,Armenia,Hotel Citywide,1.3601%
Hotelscombined,Armenia,Hotel Citywide,2.3960%
Swoodoo,Armenia,Hotel Citywide,0.0035%
Hotelscombined,Armenia,Vacations,20.0000%
KAYAK,Armenia,Vacations,5.0000%
KAYAK,Aruba,Flights,1.2437%
CheapFlights,Aruba,Flights,0.6759%
Hotelscombined,Aruba,Flights,7.2460%
Momondo,Aruba,Flights,0.3965%
KAYAK,Aruba,Hotel,7.8482%
Hotelscombined,Aruba,Hotel,8.3160%
Momondo,Aruba,Hotel,0.9875%
KAYAK,Aruba,Hotel Citywide,7.9556%
Momondo,Aruba,Hotel Citywide,1.6802%
Hotelscombined,Aruba,Hotel Citywide,3.3604%
KAYAK,Aruba,Vacations,5.0000%
Hotelscombined,Aruba,Vacations,20.0000%
Momondo,Australia,Car Rentals,24.2857%
KAYAK,Australia,Car Rentals,0.7143%
CheapFlights,Australia,Flights,7.0918%
KAYAK,Australia,Flights,4.6007%
Momondo,Australia,Flights,3.3041%
Hotelscombined,Australia,Flights,3.5232%
Travelsearch,Australia,Flights,1.1946%
Hotelscombined,Australia,Hotel,10.7916%
Momondo,Australia,Hotel,4.4388%
KAYAK,Australia,Hotel,9.8660%
Swoodoo,Australia,Hotel,0.0007%
KAYAK,Australia,Hotel Citywide,3.5693%
Momondo,Australia,Hotel Citywide,2.3282%
Hotelscombined,Australia,Hotel Citywide,0.8307%
Swoodoo,Australia,Hotel Citywide,0.0018%
Hotelscombined,Australia,Vacations,9.2754%
KAYAK,Australia,Vacations,0.7971%
Momondo,Austria,Car Rentals,24.9050%
KAYAK,Austria,Car Rentals,0.0951%
Momondo,Austria,Flights,11.4507%
CheapFlights,Austria,Flights,5.1275%
Hotelscombined,Austria,Flights,3.8776%
KAYAK,Austria,Flights,2.5904%
Hotelscombined,Austria,Hotel,6.6008%
KAYAK,Austria,Hotel,6.9792%
Momondo,Austria,Hotel,0.3128%
Swoodoo,Austria,Hotel,0.1071%
KAYAK,Austria,Hotel Citywide,4.5039%
Hotelscombined,Austria,Hotel Citywide,2.5116%
Momondo,Austria,Hotel Citywide,2.5905%
Swoodoo,Austria,Hotel Citywide,0.1874%
Hotelscombined,Austria,Vacations,13.1532%
KAYAK,Austria,Vacations,1.8966%
CheapFlights,Azerbaijan,Flights,2.2572%
Momondo,Azerbaijan,Flights,1.8203%
KAYAK,Azerbaijan,Flights,1.0437%
Hotelscombined,Azerbaijan,Flights,10.4366%
KAYAK,Azerbaijan,Hotel,10.8640%
Momondo,Azerbaijan,Hotel,1.2435%
Hotelscombined,Azerbaijan,Hotel,4.6466%
KAYAK,Azerbaijan,Hotel Citywide,10.0554%
Momondo,Azerbaijan,Hotel Citywide,1.9965%
Hotelscombined,Azerbaijan,Hotel Citywide,2.8842%
Swoodoo,Azerbaijan,Hotel Citywide,0.0028%
Hotelscombined,Azerbaijan,Vacations,25.0000%
Momondo,Bahamas,Car Rentals,25.0000%
KAYAK,Bahamas,Flights,2.5588%
Momondo,Bahamas,Flights,0.9942%
Hotelscombined,Bahamas,Flights,6.8940%
CheapFlights,Bahamas,Flights,0.3586%
KAYAK,Bahamas,Hotel,8.0093%
Momondo,Bahamas,Hotel,1.7329%
Hotelscombined,Bahamas,Hotel,8.8123%
KAYAK,Bahamas,Hotel Citywide,9.2521%
Momondo,Bahamas,Hotel Citywide,1.9797%
Hotelscombined,Bahamas,Hotel Citywide,2.3523%
CheapFlights,Bahamas,Hotel Citywide,0.0359%
Hotelscombined,Bahamas,Vacations,18.7500%
KAYAK,Bahrain,Flights,2.6419%
Momondo,Bahrain,Flights,2.0003%
CheapFlights,Bahrain,Flights,0.6643%
Hotelscombined,Bahrain,Flights,10.4318%
KAYAK,Bahrain,Hotel,10.2627%
Momondo,Bahrain,Hotel,1.4778%
Hotelscombined,Bahrain,Hotel,7.2660%
KAYAK,Bahrain,Hotel Citywide,11.3795%
Momondo,Bahrain,Hotel Citywide,1.4685%
Hotelscombined,Bahrain,Hotel Citywide,3.3948%
Hotelscombined,Bahrain,Vacations,21.8750%
KAYAK,Bangladesh,Flights,2.6166%
Momondo,Bangladesh,Flights,1.9692%
CheapFlights,Bangladesh,Flights,0.7769%
Hotelscombined,Bangladesh,Flights,5.9075%
KAYAK,Bangladesh,Hotel,10.2583%
Momondo,Bangladesh,Hotel,3.8020%
Hotelscombined,Bangladesh,Hotel,8.9312%
Swoodoo,Bangladesh,Hotel,0.0717%
KAYAK,Bangladesh,Hotel Citywide,11.7607%
Momondo,Bangladesh,Hotel Citywide,2.7044%
Hotelscombined,Bangladesh,Hotel Citywide,3.0263%
Swoodoo,Bangladesh,Hotel Citywide,0.0023%
Hotelscombined,Bangladesh,Vacations,14.4737%
KAYAK,Bangladesh,Vacations,0.6579%
KAYAK,Barbados,Flights,4.7585%
Momondo,Barbados,Flights,1.4976%
CheapFlights,Barbados,Flights,0.9903%
Hotelscombined,Barbados,Flights,6.0145%
KAYAK,Barbados,Hotel,7.3412%
Hotelscombined,Barbados,Hotel,7.7664%
Momondo,Barbados,Hotel,1.2188%
KAYAK,Barbados,Hotel Citywide,7.4968%
Momondo,Barbados,Hotel Citywide,1.4125%
Hotelscombined,Barbados,Hotel Citywide,1.6685%
CheapFlights,Barbados,Hotel Citywide,0.0274%
Hotelscombined,Barbados,Vacations,15.6252%
CheapFlights,Belarus,Flights,7.0926%
KAYAK,Belarus,Flights,3.8875%
Momondo,Belarus,Flights,5.1075%
KAYAK,Belarus,Hotel,10.3639%
Momondo,Belarus,Hotel,4.1139%
Hotelscombined,Belarus,Hotel,0.0791%
Swoodoo,Belarus,Hotel,0.0791%
KAYAK,Belarus,Hotel Citywide,5.1484%
Momondo,Belarus,Hotel Citywide,1.6236%
Swoodoo,Belarus,Hotel Citywide,0.0406%
Hotelscombined,Belarus,Hotel Citywide,0.0276%
KAYAK,Belarus,Vacations,13.6364%
Momondo,Belgium,Car Rentals,24.6668%
KAYAK,Belgium,Car Rentals,0.6667%
CheapFlights,Belgium,Flights,2.9374%
Momondo,Belgium,Flights,4.7762%
Hotelscombined,Belgium,Flights,1.4834%
KAYAK,Belgium,Flights,1.1126%
Hotelscombined,Belgium,Hotel,8.1133%
KAYAK,Belgium,Hotel,6.2538%
Momondo,Belgium,Hotel,0.5870%
Swoodoo,Belgium,Hotel,0.0141%
KAYAK,Belgium,Hotel Citywide,5.4967%
Hotelscombined,Belgium,Hotel Citywide,4.1883%
Momondo,Belgium,Hotel Citywide,3.7874%
Swoodoo,Belgium,Hotel Citywide,0.0015%
KAYAK,Belgium,Vacations,14.0004%
Hotelscombined,Belgium,Vacations,6.7643%
KAYAK,Belize,Flights,2.6948%
Momondo,Belize,Flights,0.4870%
Hotelscombined,Belize,Flights,6.4285%
CheapFlights,Belize,Flights,0.3571%
KAYAK,Belize,Hotel,8.4558%
Hotelscombined,Belize,Hotel,10.7842%
Momondo,Belize,Hotel,0.2451%
KAYAK,Belize,Hotel Citywide,11.3532%
Momondo,Belize,Hotel Citywide,1.5964%
Hotelscombined,Belize,Hotel Citywide,2.2241%
Swoodoo,Belize,Hotel Citywide,0.0077%
CheapFlights,Belize,Hotel Citywide,0.0077%
Hotelscombined,Belize,Vacations,25.0000%
Hotelscombined,Benin,Flights,7.6011%
CheapFlights,Benin,Flights,0.4010%
KAYAK,Benin,Flights,0.1851%
Momondo,Benin,Flights,0.1481%
KAYAK,Benin,Hotel,8.7663%
Momondo,Benin,Hotel,2.2727%
Hotelscombined,Benin,Hotel,6.8182%
KAYAK,Benin,Hotel Citywide,3.1571%
Momondo,Benin,Hotel Citywide,0.7159%
Hotelscombined,Benin,Hotel Citywide,0.4785%
KAYAK,Benin,Vacations,18.7500%
Hotelscombined,Benin,Vacations,6.2500%
KAYAK,Bermuda,Flights,4.0993%
Momondo,Bermuda,Flights,1.1547%
CheapFlights,Bermuda,Flights,0.5774%
Hotelscombined,Bermuda,Flights,9.1801%
KAYAK,Bermuda,Hotel,7.2270%
Hotelscombined,Bermuda,Hotel,9.2181%
Momondo,Bermuda,Hotel,0.8849%
KAYAK,Bermuda,Hotel Citywide,11.7910%
Momondo,Bermuda,Hotel Citywide,1.8071%
Hotelscombined,Bermuda,Hotel Citywide,2.8953%
Hotelscombined,Bermuda,Vacations,6.2500%
Momondo,Bhutan,Flights,0.6410%
Hotelscombined,Bhutan,Flights,15.3841%
KAYAK,Bhutan,Flights,0.6410%
KAYAK,Bhutan,Hotel,7.1430%
Momondo,Bhutan,Hotel,7.1430%
Hotelscombined,Bhutan,Hotel,7.1430%
KAYAK,Bhutan,Hotel Citywide,9.1579%
Momondo,Bhutan,Hotel Citywide,1.7368%
Hotelscombined,Bhutan,Hotel Citywide,4.8947%
Momondo,Bolivia,Car Rentals,25.0000%
CheapFlights,Bolivia,Flights,1.8467%
Momondo,Bolivia,Flights,1.3071%
Hotelscombined,Bolivia,Flights,6.2576%
KAYAK,Bolivia,Flights,1.0073%
KAYAK,Bolivia,Hotel,9.2936%
Hotelscombined,Bolivia,Hotel,10.7806%
Momondo,Bolivia,Hotel,1.5334%
KAYAK,Bolivia,Hotel Citywide,5.1118%
Momondo,Bolivia,Hotel Citywide,4.4073%
Hotelscombined,Bolivia,Hotel Citywide,4.2480%
Swoodoo,Bolivia,Hotel Citywide,0.0048%
Hotelscombined,Bolivia,Vacations,21.2500%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Flights,4.6137%
CheapFlights,"Bonaire, Sint Eustatius, and Saba",Flights,3.7554%
Momondo,"Bonaire, Sint Eustatius, and Saba",Flights,2.2532%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Flights,6.4378%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel,7.9898%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel,9.0207%
Momondo,"Bonaire, Sint Eustatius, and Saba",Hotel,0.5155%
KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,7.1245%
Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,2.0062%
Momondo,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,1.7490%
Momondo,Bosnia and Herzegovina,Car Rentals,25.0000%
CheapFlights,Bosnia and Herzegovina,Flights,8.7914%
Momondo,Bosnia and Herzegovina,Flights,4.1604%
KAYAK,Bosnia and Herzegovina,Flights,4.8775%
Hotelscombined,Bosnia and Herzegovina,Flights,6.6626%
KAYAK,Bosnia and Herzegovina,Hotel,11.0050%
Momondo,Bosnia and Herzegovina,Hotel,1.5267%
Hotelscombined,Bosnia and Herzegovina,Hotel,4.3257%
KAYAK,Bosnia and Herzegovina,Hotel Citywide,8.6539%
Momondo,Bosnia and Herzegovina,Hotel Citywide,1.6287%
Hotelscombined,Bosnia and Herzegovina,Hotel Citywide,1.9492%
Swoodoo,Bosnia and Herzegovina,Hotel Citywide,0.0672%
Hotelscombined,Bosnia and Herzegovina,Vacations,18.0003%
KAYAK,Bosnia and Herzegovina,Vacations,1.0000%
KAYAK,Botswana,Flights,2.7969%
Momondo,Botswana,Flights,2.0224%
CheapFlights,Botswana,Flights,1.4200%
Hotelscombined,Botswana,Flights,4.1738%
KAYAK,Botswana,Hotel,10.0808%
Momondo,Botswana,Hotel,2.2178%
Hotelscombined,Botswana,Hotel,9.2743%
KAYAK,Botswana,Hotel Citywide,10.1909%
Momondo,Botswana,Hotel Citywide,1.9781%
Hotelscombined,Botswana,Hotel Citywide,1.9858%
Hotelscombined,Botswana,Vacations,24.9999%
Momondo,Brazil,Car Rentals,24.8565%
KAYAK,Brazil,Car Rentals,8.0146%
KAYAK,Brazil,Flights,1.9271%
Mundi,Brazil,Flights,5.9713%
Hotelscombined,Brazil,Flights,7.6527%
Momondo,Brazil,Flights,1.7413%
CheapFlights,Brazil,Flights,0.7109%
Mundi,Brazil,Hotel,6.1634%
Hotelscombined,Brazil,Hotel,5.6017%
KAYAK,Brazil,Hotel,3.9902%
Momondo,Brazil,Hotel,0.0825%
KAYAK,Brazil,Hotel Citywide,9.4146%
Momondo,Brazil,Hotel Citywide,3.3014%
Mundi,Brazil,Hotel Citywide,0.5789%
Hotelscombined,Brazil,Hotel Citywide,1.4769%
Swoodoo,Brazil,Hotel Citywide,0.0002%
Hotelscombined,Brazil,Vacations,18.4067%
KAYAK,Brazil,Vacations,1.3736%
KAYAK,British Indian Ocean Territory,Flights,25.0000%
Hotelscombined,British Indian Ocean Territory,Hotel Citywide,12.5000%
KAYAK,British Indian Ocean Territory,Hotel Citywide,12.5000%
