brand,country,vertical,sov
KAYAK,Afghanistan,Flights,4.1066%
CheapFlights,Afghanistan,Flights,0.8646%
Momondo,Afghanistan,Flights,1.0807%
Hotelscombined,Afghanistan,Flights,6.2680%
KAYAK,Afghanistan,Hotel,8.9286%
Hotelscombined,Afghanistan,Hotel,8.9286%
KAYAK,Afghanistan,Hotel Citywide,10.3262%
Momondo,Afghanistan,Hotel Citywide,1.2568%
Hotelscombined,Afghanistan,Hotel Citywide,2.5136%
Momondo,Albania,Car Rentals,25.0000%
KAYAK,Albania,Flights,2.8648%
CheapFlights,Albania,Flights,3.2829%
Hotelscombined,Albania,Flights,14.5086%
Momondo,Albania,Flights,2.7659%
KAYAK,Albania,Hotel,10.0650%
Hotelscombined,Albania,Hotel,9.3507%
Momondo,Albania,Hotel,1.0390%
Swoodoo,Albania,Hotel,0.0649%
KAYAK,Albania,Hotel Citywide,7.5052%
Momondo,Albania,Hotel Citywide,0.7982%
Hotelscombined,Albania,Hotel Citywide,2.9893%
Swoodoo,Albania,Hotel Citywide,0.0066%
Hotelscombined,Albania,Vacations,12.1212%
Momondo,Algeria,Car Rentals,24.9999%
Hotelscombined,Algeria,Flights,5.3719%
KAYAK,Algeria,Flights,0.1265%
Momondo,Algeria,Flights,0.0936%
CheapFlights,Algeria,Flights,0.1522%
KAYAK,Algeria,Hotel,10.8125%
Hotelscombined,Algeria,Hotel,6.1983%
Momondo,Algeria,Hotel,2.3416%
KAYAK,Algeria,Hotel Citywide,7.1093%
Momondo,Algeria,Hotel Citywide,1.0720%
Hotelscombined,Algeria,Hotel Citywide,2.7814%
KAYAK,Algeria,Vacations,14.1305%
Hotelscombined,Algeria,Vacations,1.0870%
KAYAK,American Samoa,Hotel,4.1667%
KAYAK,American Samoa,Hotel Citywide,12.1623%
Momondo,American Samoa,Hotel Citywide,2.7027%
Hotelscombined,American Samoa,Hotel Citywide,2.0270%
Momondo,Andorra,Car Rentals,25.0000%
KAYAK,Andorra,Flights,6.3085%
CheapFlights,Andorra,Flights,6.2093%
Momondo,Andorra,Flights,5.1549%
Hotelscombined,Andorra,Flights,7.6513%
KAYAK,Andorra,Hotel,8.5020%
Hotelscombined,Andorra,Hotel,3.0364%
Momondo,Andorra,Hotel,0.6073%
KAYAK,Andorra,Hotel Citywide,7.7936%
Hotelscombined,Andorra,Hotel Citywide,2.8319%
Momondo,Andorra,Hotel Citywide,0.8066%
Swoodoo,Andorra,Hotel Citywide,0.0058%
Hotelscombined,Andorra,Vacations,11.7089%
KAYAK,Andorra,Vacations,1.2658%
Momondo,Angola,Car Rentals,25.0000%
CheapFlights,Angola,Flights,5.9330%
KAYAK,Angola,Flights,4.4822%
Momondo,Angola,Flights,3.5209%
Hotelscombined,Angola,Flights,5.7738%
KAYAK,Angola,Hotel,7.7273%
Hotelscombined,Angola,Hotel,4.6591%
Momondo,Angola,Hotel,1.1364%
KAYAK,Angola,Hotel Citywide,8.5051%
Momondo,Angola,Hotel Citywide,1.2770%
Hotelscombined,Angola,Hotel Citywide,2.3344%
KAYAK,Angola,Vacations,8.3333%
Hotelscombined,Angola,Vacations,16.6666%
KAYAK,Anguilla,Flights,4.1330%
Momondo,Anguilla,Flights,0.9073%
CheapFlights,Anguilla,Flights,0.9073%
Hotelscombined,Anguilla,Flights,6.8548%
KAYAK,Anguilla,Hotel,10.4169%
Hotelscombined,Anguilla,Hotel,10.1192%
Momondo,Anguilla,Hotel,2.3810%
KAYAK,Anguilla,Hotel Citywide,8.4487%
Momondo,Anguilla,Hotel Citywide,1.5928%
Hotelscombined,Anguilla,Hotel Citywide,2.3545%
KAYAK,Antarctica,Hotel Citywide,24.9999%
KAYAK,Antigua and Barbuda,Flights,5.4441%
Momondo,Antigua and Barbuda,Flights,1.4326%
Hotelscombined,Antigua and Barbuda,Flights,7.0200%
CheapFlights,Antigua and Barbuda,Flights,0.5731%
KAYAK,Antigua and Barbuda,Hotel,7.4505%
Momondo,Antigua and Barbuda,Hotel,0.8278%
Hotelscombined,Antigua and Barbuda,Hotel,6.1260%
KAYAK,Antigua and Barbuda,Hotel Citywide,7.8982%
Momondo,Antigua and Barbuda,Hotel Citywide,1.8930%
Hotelscombined,Antigua and Barbuda,Hotel Citywide,2.4587%
CheapFlights,Antigua and Barbuda,Hotel Citywide,0.0870%
Momondo,Argentina,Car Rentals,23.4012%
KAYAK,Argentina,Car Rentals,3.6337%
Momondo,Argentina,Flights,5.3459%
KAYAK,Argentina,Flights,4.0028%
Hotelscombined,Argentina,Flights,2.2404%
CheapFlights,Argentina,Flights,1.0435%
Momondo,Argentina,Hotel,6.0318%
Hotelscombined,Argentina,Hotel,6.7226%
KAYAK,Argentina,Hotel,3.4388%
Swoodoo,Argentina,Hotel,0.0029%
KAYAK,Argentina,Hotel Citywide,2.1261%
Momondo,Argentina,Hotel Citywide,3.9078%
Hotelscombined,Argentina,Hotel Citywide,6.0685%
Swoodoo,Argentina,Hotel Citywide,0.0007%
Hotelscombined,Argentina,Vacations,16.2828%
KAYAK,Argentina,Vacations,0.3289%
KAYAK,Armenia,Flights,2.0680%
Momondo,Armenia,Flights,1.6010%
Hotelscombined,Armenia,Flights,12.9251%
CheapFlights,Armenia,Flights,1.2842%
KAYAK,Armenia,Hotel,11.7483%
Hotelscombined,Armenia,Hotel,7.8008%
Momondo,Armenia,Hotel,2.0677%
KAYAK,Armenia,Hotel Citywide,8.4957%
Hotelscombined,Armenia,Hotel Citywide,2.8915%
Momondo,Armenia,Hotel Citywide,0.9568%
Swoodoo,Armenia,Hotel Citywide,0.0035%
KAYAK,Armenia,Vacations,9.3750%
Hotelscombined,Armenia,Vacations,9.3750%
Momondo,Aruba,Car Rentals,25.0001%
KAYAK,Aruba,Flights,1.6852%
Hotelscombined,Aruba,Flights,6.8378%
CheapFlights,Aruba,Flights,0.5479%
Momondo,Aruba,Flights,0.5479%
KAYAK,Aruba,Hotel,8.5638%
Hotelscombined,Aruba,Hotel,7.5531%
Momondo,Aruba,Hotel,1.1170%
KAYAK,Aruba,Hotel Citywide,8.0016%
Momondo,Aruba,Hotel Citywide,1.3615%
Hotelscombined,Aruba,Hotel Citywide,2.7627%
CheapFlights,Aruba,Hotel Citywide,0.0080%
Hotelscombined,Aruba,Vacations,25.0000%
Momondo,Australia,Car Rentals,25.0000%
CheapFlights,Australia,Flights,6.5845%
KAYAK,Australia,Flights,4.4494%
Momondo,Australia,Flights,4.5773%
Travelsearch,Australia,Flights,3.9247%
Hotelscombined,Australia,Flights,1.5684%
Hotelscombined,Australia,Hotel,10.0000%
Momondo,Australia,Hotel,5.1654%
KAYAK,Australia,Hotel,9.1672%
Swoodoo,Australia,Hotel,0.0073%
KAYAK,Australia,Hotel Citywide,4.9579%
Momondo,Australia,Hotel Citywide,1.4975%
Hotelscombined,Australia,Hotel Citywide,0.5942%
Swoodoo,Australia,Hotel Citywide,0.0017%
Hotelscombined,Australia,Vacations,9.2351%
KAYAK,Australia,Vacations,0.3731%
Momondo,Austria,Car Rentals,24.8660%
KAYAK,Austria,Car Rentals,0.2011%
Momondo,Austria,Flights,12.6510%
CheapFlights,Austria,Flights,3.6283%
Hotelscombined,Austria,Flights,4.1414%
KAYAK,Austria,Flights,2.8856%
Hotelscombined,Austria,Hotel,6.9230%
KAYAK,Austria,Hotel,4.6712%
Swoodoo,Austria,Hotel,0.1192%
Momondo,Austria,Hotel,0.1091%
KAYAK,Austria,Hotel Citywide,4.9176%
Hotelscombined,Austria,Hotel Citywide,2.9596%
Momondo,Austria,Hotel Citywide,1.3520%
Swoodoo,Austria,Hotel Citywide,0.1689%
Hotelscombined,Austria,Vacations,12.3557%
KAYAK,Austria,Vacations,1.8331%
