brand,country,vertical,sov
KAYAK,Afghanistan,Flights,11.9029%
CheapFlights,Afghanistan,Flights,9.9920%
Momondo,Afghanistan,Flights,7.3248%
Hotelscombined,Afghanistan,Flights,5.9315%
KAYAK,Afghanistan,Hotel,6.2500%
Momondo,Afghanistan,Hotel,0.8929%
Hotelscombined,Afghanistan,Hotel,5.3571%
KAYAK,Afghanistan,Hotel Citywide,7.3669%
Momondo,Afghanistan,Hotel Citywide,1.5385%
Hotelscombined,Afghanistan,Hotel Citywide,1.8935%
Momondo,Albania,Car Rentals,25.0000%
KAYAK,Albania,Car Rentals,3.5714%
CheapFlights,Albania,Flights,5.7187%
KAYAK,Albania,Flights,3.0067%
Momondo,Albania,Flights,3.8249%
Hotelscombined,Albania,Flights,12.2412%
Swoodoo,Albania,Flights,0.0029%
KAYAK,Albania,Hotel,3.8086%
Momondo,Albania,Hotel,0.4883%
Hotelscombined,Albania,Hotel,9.5215%
KAYAK,Albania,Hotel Citywide,9.6691%
Momondo,Albania,Hotel Citywide,1.5366%
Hotelscombined,Albania,Hotel Citywide,3.0038%
Swoodoo,Albania,Hotel Citywide,0.0128%
Hotelscombined,Albania,Vacations,4.5238%
KAYAK,Albania,Vacations,0.2381%
Momondo,Algeria,Car Rentals,22.1311%
KAYAK,Algeria,Car Rentals,18.7158%
KAYAK,Algeria,Flights,15.4982%
CheapFlights,Algeria,Flights,12.3357%
Momondo,Algeria,Flights,6.1653%
Hotelscombined,Algeria,Flights,4.6851%
KAYAK,Algeria,Hotel,5.5268%
Momondo,Algeria,Hotel,0.4750%
Hotelscombined,Algeria,Hotel,4.7927%
KAYAK,Algeria,Hotel Citywide,6.5972%
Momondo,Algeria,Hotel Citywide,1.3543%
Hotelscombined,Algeria,Hotel Citywide,2.6589%
Swoodoo,Algeria,Hotel Citywide,0.0005%
KAYAK,Algeria,Vacations,14.8810%
Hotelscombined,Algeria,Vacations,2.9762%
KAYAK,American Samoa,Flights,16.6667%
Hotelscombined,American Samoa,Flights,8.3333%
CheapFlights,American Samoa,Flights,8.3333%
Momondo,American Samoa,Flights,8.3333%
Hotelscombined,American Samoa,Hotel,6.2500%
KAYAK,American Samoa,Hotel Citywide,9.8837%
Hotelscombined,American Samoa,Hotel Citywide,2.9070%
Momondo,American Samoa,Hotel Citywide,0.5814%
Momondo,Andorra,Car Rentals,25.0000%
KAYAK,Andorra,Car Rentals,15.0000%
CheapFlights,Andorra,Flights,6.9703%
KAYAK,Andorra,Flights,3.3271%
Momondo,Andorra,Flights,3.5874%
Hotelscombined,Andorra,Flights,5.0093%
KAYAK,Andorra,Hotel,5.8300%
Momondo,Andorra,Hotel,0.7905%
Hotelscombined,Andorra,Hotel,7.9051%
KAYAK,Andorra,Hotel Citywide,6.6532%
Hotelscombined,Andorra,Hotel Citywide,2.3118%
Momondo,Andorra,Hotel Citywide,0.7392%
Hotelscombined,Andorra,Vacations,13.6364%
Momondo,Angola,Car Rentals,24.0000%
KAYAK,Angola,Car Rentals,2.5000%
CheapFlights,Angola,Flights,7.5154%
KAYAK,Angola,Flights,4.0896%
Momondo,Angola,Flights,3.5206%
Hotelscombined,Angola,Flights,4.9905%
KAYAK,Angola,Hotel,6.5789%
Hotelscombined,Angola,Hotel,5.4276%
Momondo,Angola,Hotel,0.2467%
KAYAK,Angola,Hotel Citywide,6.9898%
Momondo,Angola,Hotel Citywide,1.4807%
Hotelscombined,Angola,Hotel Citywide,1.5078%
KAYAK,Angola,Vacations,15.0000%
Hotelscombined,Angola,Vacations,10.0000%
KAYAK,Anguilla,Flights,11.7958%
CheapFlights,Anguilla,Flights,7.0423%
Momondo,Anguilla,Flights,2.5528%
Hotelscombined,Anguilla,Flights,3.4331%
KAYAK,Anguilla,Hotel,1.4286%
Hotelscombined,Anguilla,Hotel,2.8571%
KAYAK,Anguilla,Hotel Citywide,7.3363%
Momondo,Anguilla,Hotel Citywide,1.4108%
Hotelscombined,Anguilla,Hotel Citywide,3.9503%
CheapFlights,Anguilla,Hotel Citywide,0.0564%
KAYAK,Antarctica,Hotel Citywide,22.9167%
KAYAK,Antigua and Barbuda,Flights,8.2589%
CheapFlights,Antigua and Barbuda,Flights,4.4643%
Momondo,Antigua and Barbuda,Flights,2.9018%
Hotelscombined,Antigua and Barbuda,Flights,4.8363%
KAYAK,Antigua and Barbuda,Hotel,1.7717%
Hotelscombined,Antigua and Barbuda,Hotel,5.3150%
KAYAK,Antigua and Barbuda,Hotel Citywide,6.5385%
Hotelscombined,Antigua and Barbuda,Hotel Citywide,3.2249%
Momondo,Antigua and Barbuda,Hotel Citywide,1.0651%
CheapFlights,Antigua and Barbuda,Hotel Citywide,0.1183%
Momondo,Argentina,Car Rentals,23.8000%
KAYAK,Argentina,Car Rentals,7.0000%
Momondo,Argentina,Flights,6.4510%
KAYAK,Argentina,Flights,5.9233%
CheapFlights,Argentina,Flights,5.0810%
Hotelscombined,Argentina,Flights,2.7007%
Hotelscombined,Argentina,Hotel,6.3103%
Momondo,Argentina,Hotel,3.7613%
KAYAK,Argentina,Hotel,3.9027%
KAYAK,Argentina,Hotel Citywide,3.1233%
Momondo,Argentina,Hotel Citywide,3.8040%
Hotelscombined,Argentina,Hotel Citywide,6.2599%
Swoodoo,Argentina,Hotel Citywide,0.0008%
Hotelscombined,Argentina,Vacations,15.2542%
KAYAK,Armenia,Car Rentals,25.0000%
Momondo,Armenia,Car Rentals,12.5000%
KAYAK,Armenia,Flights,6.8944%
CheapFlights,Armenia,Flights,6.8944%
Momondo,Armenia,Flights,2.6882%
Hotelscombined,Armenia,Flights,11.0373%
KAYAK,Armenia,Hotel,5.6098%
Hotelscombined,Armenia,Hotel,4.1463%
Momondo,Armenia,Hotel,0.3659%
KAYAK,Armenia,Hotel Citywide,8.6117%
Momondo,Armenia,Hotel Citywide,1.2276%
